"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.916681383130223,0.860395446375075,"0.932833414784621","0.927615828756513",1
"3","binlogregr",0.759882897703371,0.601078490113841,"0.949893062746834","0.559357836924377",1
"4","naive bayes",0.725214192466891,0.594248052726183,"0.942999321420493","0.556189269117026",1
"11","randomforest",0.923474517537707,0.863151587777112,"0.933801364185753","0.923832234534998",2
"31","binlogregr",0.759877995548206,0.599400838825644,"0.952077431539188","0.558212933090195",2
"41","naive bayes",0.723777302308585,0.589574595566207,"0.939182339582204","0.553093000420816",2
"12","randomforest",0.917999591746879,0.861054523666866,"0.931394692264258","0.92672474357173",3
"32","binlogregr",0.74829747693164,0.596285200718993,"0.947097817439232","0.556414219474498",3
"42","naive bayes",0.713335082444704,0.586039544637508,"0.935675182481752","0.550723619502599",3
"13","randomforest",0.918288580912732,0.853684841222289,"0.93137627594524","0.920544835414302",4
"33","binlogregr",0.749026774876452,0.599281006590773,"0.943222143364088","0.55866912599319",4
"43","naive bayes",0.714929381695469,0.594248052726183,"0.935237653811776","0.556186152099887",4
"14","randomforest",0.918411038611476,0.858478130617136,"0.931268561731014","0.927645484007327",5
"34","binlogregr",0.751780840044367,0.601138406231276,"0.94648598989435","0.559461744399042",5
"44","naive bayes",0.710947858972553,0.588556021569802,"0.934038721296713","0.552416514020008",5
"15","randomforest",0.921609921386387,0.858058717795087,"0.936881365657725","0.920803949224259",6
"35","binlogregr",0.752691799796583,0.599400838825644,"0.943955794107661","0.558392101551481",6
"45","naive bayes",0.713159154636743,0.588076692630318,"0.93112582781457","0.552115655853315",6
"16","randomforest",0.919198582582325,0.86087477531456,"0.930910352748863","0.924796176553275",7
"36","binlogregr",0.759101913892973,0.601677651288197,"0.952112839563501","0.559600787180208",7
"46","naive bayes",0.71341911819282,0.587956860395446,"0.937686139747995","0.551939836941243",7
"17","randomforest",0.923262957883553,0.857998801677651,"0.934364566873787","0.927782497875956",8
"37","binlogregr",0.763875322745452,0.601318154583583,"0.945028293527139","0.559898045879354",8
"47","naive bayes",0.720982653804747,0.589454763331336,"0.932768255176377","0.553242707448315",8
"18","randomforest",0.918948070249943,0.859436788496105,"0.936843766985602","0.922578828828829",9
"38","binlogregr",0.753659342763392,0.595745955662073,"0.946915351506456","0.556235923423423",9
"48","naive bayes",0.719965168129451,0.592150988615938,"0.942196531791908","0.554546734234234",9
"19","randomforest",0.924240818760808,0.854763331336129,"0.933304708744812","0.92850021364478",10
"39","binlogregr",0.756767354389141,0.604673457159976,"0.946046170941022","0.56217063096425",10
"49","naive bayes",0.722667345395836,0.596225284601558,"0.934613625971651","0.557399230878792",10
